0	0	0	0
1	69	470	3999
2	160	1200	9900
3	54986	4985	448
4	295	20	1800
5	257	1349	13
6	24	1995	150
7	340	33	2794
8	1050	10	90
9	1991	17499	153
10	5000	494	48
11	4999	48	440
12	4999	48	440
13	4998	439	43
14	4998	439	43
15	5000	495	43
16	5000	495	43
17	5000	444	34
18	5146	50	440
19	69	466	3997
20	4999	49880	0
21	54984	4984	400
22	196	1269	8994
23	1	90	9
24	15000	397	2
25	2499	89	4
26	16998	694	14
27	9999	893	42
28	5190	289	2
29	14997	999	48
30	23330	774	17
31	50000	3096	0
32	24899	2395	127
33	22000	995	0
34	2000	20	31
35	20	189	1860
36	16995	168	1600
37	4789	30	30
